Facility Name,Hospital overall rating,Beds Available ,Cardio Rating,Neuro Rating,Ortho Rating,Doctors on Duty,Distance,Y
ARH OUR LADY OF THE WAY,3,30,4,4,1,15,27,0
UH CLEVELAND MEDICAL CENTER,4,29,1,5,4,7,1,1
PROVIDENCE HOSPITAL,3,6,2,3,2,18,9,0
LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,3,3,4,1,3,5,22,0
NORTHERN LIGHT MAINE COAST HOSPITAL,4,10,4,1,5,12,16,1
ST JOSEPHS HOSPITAL,3,3,4,1,3,19,15,0
SKYLINE HOSPITAL,5,8,5,3,5,17,24,0
BRONSON SOUTH HAVEN HOSPITAL,4,14,3,2,5,18,23,1
PULASKI MEMORIAL HOSPITAL,3,4,4,3,1,14,2,0
ASSURANCE HEALTH HUDSON LLC,2,10,2,2,1,14,2,0
WYANDOT MEMORIAL HOSPITAL,3,19,2,1,4,14,10,1
MERIT HEALTH RIVER OAKS,5,13,4,5,5,17,22,1
UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,4,11,3,4,4,5,26,0
TMC- BONHAM HOSPITAL,2,19,4,1,1,15,5,0
SKAGIT VALLEY HOSPITAL,2,10,1,2,3,15,22,0
FAIRVIEW REGIONAL MEDICAL CENTER AUTHORITY,4,6,4,3,5,19,24,0
NOVATO COMMUNITY HOSPITAL,3,5,3,5,1,16,8,0
CHADRON COMMUNITY HOSPITAL CORP,3,21,1,4,4,13,18,1
"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",1,2,1,1,1,19,1,0
PARK RIDGE HEALTH,5,4,4,4,5,6,6,1
EXCELA HEALTH LATROBE HOSPITAL,4,20,3,5,3,16,28,0
THE MEDICAL CENTER AT SCOTTSVILLE,3,20,3,4,1,13,22,0
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,3,4,1,3,5,13,16,1
P H S INDIAN HOSPITAL-FT BELKNAP AT HARLEM - CAH,5,30,3,5,5,20,24,1
MUNICIPAL HOSPITAL AND GRANITE MANOR,3,23,3,3,3,6,22,0
HARLAN ARH HOSPITAL,3,12,2,3,4,18,21,0
INTEGRIS CANADIAN VALLEY HOSPITAL,3,25,3,4,1,16,21,0
SAN JORGE CHILDRENS HOSPITAL INC,2,2,1,3,2,7,26,0
PROVIDENCE MILWAUKIE HOSPITAL,3,30,5,3,1,19,29,0
CARILION NEW RIVER VALLEY MEDICAL CENTER,3,22,5,1,1,13,7,0
MOUNTAIN VIEW HOSPITAL,3,21,1,2,5,7,25,1
CASTLE ROCK ADVENTIST HOSPITAL,3,5,4,1,4,15,20,0
CAPE FEAR VALLEY MEDICAL CENTER,3,4,2,5,1,17,5,0
MERCY MEDICAL CENTER,3,21,1,2,4,5,4,1
BANNER GATEWAY MEDICAL CENTER,2,16,1,1,3,13,25,0
REEDSBURG AREA MEDICAL CENTER,3,25,3,2,2,13,10,0
NORTH FLORIDA REGIONAL MEDICAL CENTER,2,8,2,2,2,5,15,0
RIDGEVIEW PSYCHIATRIC HOSPITAL AND CENTER,2,30,1,1,4,12,1,1
TENNOVA HEALTHCARE-SHELBYVILLE,3,28,4,4,1,12,25,0
KAISER FOUNDATION HOSPITAL-SANTA CLARA,3,20,5,2,1,16,26,0
CANTON-POTSDAM HOSPITAL,5,20,5,4,5,5,19,1
METHODIST STONE OAK HOSPITAL,3,16,1,2,4,15,28,0
CONEMAUGH MEMORIAL MEDICAL CENTER,2,15,2,3,1,16,11,0
MANGUM REGIONAL MEDICAL CENTER,5,20,4,4,5,9,25,1
DIVINE SAVIOR HEALTHCARE,3,5,4,1,3,14,26,0
UTAH STATE HOSPITAL,4,21,4,3,5,10,21,1
MARY HURLEY HOSPITAL,3,7,3,1,3,5,6,0
GRAHAM HOSPITAL ASSOCIATION,3,22,4,2,2,14,30,0
HAZEL HAWKINS MEMORIAL HOSPITAL,3,27,1,4,2,9,7,0
"FREEDOM BEHAVIORAL HOSPITAL OF TOPEKA, LLC",4,14,5,5,1,9,15,0
JEANES HOSPITAL,3,7,1,2,4,10,17,0
RUSH COPLEY MEDICAL CENTER,4,15,1,5,4,6,20,0
KETCHIKAN MEDICAL CENTER,4,3,5,3,4,17,30,0
BON SECOURS MARYVIEW MEDICAL CENTER,5,5,4,5,5,20,20,1
BAPTIST HEALTH PADUCAH,4,9,4,5,1,16,15,0
PEKIN MEMORIAL HOSPITAL,4,24,2,5,3,16,3,1
SACRED OAK MEDICAL CENTER,3,4,3,1,3,5,7,0
TANNER MEDICAL CENTER VILLA RICA,4,4,4,4,4,8,9,0
UP HEALTH SYSTEM - MARQUETTE,5,25,5,3,5,19,3,1
CONNECTICUT MENTAL HEALTH CENTER,3,15,3,1,4,13,22,0
COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,2,29,2,2,2,19,15,0
SACRED HEART HOSPITAL,4,8,5,1,5,5,12,1
MERCY HEALTH-ANDERSON HOSPITAL,3,30,1,2,4,13,18,1
HOLY FAMILY HOSPITAL,3,28,4,3,1,8,28,0
FRANKLIN MEMORIAL HOSPITAL,3,16,1,3,4,17,24,0
SAINT VINCENT HOSPITAL,4,5,4,5,3,10,22,0
SOUTH OAKS HOSP,4,30,3,5,2,15,25,0
PARKVIEW HUNTINGTON HOSPITAL,3,15,2,5,1,7,2,0
SAINT JOSEPH LONDON,3,15,2,2,3,7,5,1
MASON GENERAL HOSPITAL & FAMILY OF CLINICS,4,28,5,3,3,13,2,1
RENVILLE COUNTY HOSPITAL AND CLINICS,4,20,2,5,5,11,28,1
MEMORIAL MEDICAL CENTER,4,7,4,2,4,5,2,1
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,4,13,5,2,5,15,10,1
BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,4,11,5,1,4,9,21,0
WASHINGTON COUNTY HOSPITAL AND CLINICS,4,14,2,5,3,10,18,0
FREDONIA REGIONAL HOSPITAL,3,5,1,5,1,13,27,0
BRAZOSPORT REGIONAL HEALTH SYSTEM,3,9,3,1,4,6,12,0
DOCTORS HOSPITAL,4,7,4,3,4,14,29,0
LOCK HAVEN HOSPITAL,3,16,3,3,3,6,26,0
FORT MEMORIAL HOSPITAL,2,21,1,4,1,13,26,0
"ROY LESTER SCHNEIDER HOSPITAL,THE",5,28,5,3,5,13,10,1
HACKENSACK MERIDIAN HEALTH CARRIER CLINIC,4,19,1,5,5,11,23,1
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,3,4,1,5,2,5,15,0
PUTNAM COMMUNITY MEDICAL CENTER,4,28,5,2,4,11,14,1
MAYO CLINIC HEALTH SYSTEM - MANKATO,5,4,5,4,5,15,29,0
FLORIDA STATE HOSPITAL UNIT 31 MED,3,22,1,2,4,20,19,1
MERCY HOSPITAL BERRYVILLE,4,7,3,5,4,12,25,0
MUNSON HEALTHCARE MANISTEE HOSPITAL,3,28,2,5,1,8,2,0
PRESENCE MERCY MEDICAL CENTER,3,20,2,5,2,20,10,0
ST MARY'S REGIONAL MEDICAL CENTER,3,27,4,1,2,10,26,0
TREGO COUNTY LEMKE MEMORIAL HOSPITAL,4,13,4,5,2,6,17,0
MEMORIAL HEALTHCARE,4,7,5,4,1,18,30,0
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,4,30,5,4,3,17,21,0
HAMILTON MEMORIAL HOSPITAL DISTRICT,4,27,3,2,5,7,17,1
SPRING VIEW HOSPITAL,2,22,1,1,4,15,17,1
BANNER ESTRELLA MEDICAL CENTER,3,14,1,4,3,11,9,0
AURORA MEDICAL CTR OSHKOSH,4,9,4,5,1,8,22,0
ARNOT OGDEN MEDICAL CENTER,4,28,4,3,4,19,26,1
REEVES COUNTY HOSPITAL DISTRICT,4,23,4,4,3,7,19,0
"NORTHEAST GEORGIA MEDICAL CENTER, INC",3,2,1,3,3,14,7,0
TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,3,7,1,4,3,8,27,0
YUMA REGIONAL MEDICAL CENTER,5,26,5,5,4,20,22,1
MIDDLE PARK MEDICAL CENTER,4,16,5,3,4,19,24,0
EAST ALABAMA MEDICAL CENTER,3,27,2,2,3,17,17,1
PALMS OF PASADENA HOSPITAL,3,29,5,2,2,5,2,1
BENNETT COUNTY HOSPITAL AND NURSING HOME - CAH,3,5,4,1,4,11,27,0
KANSAS CITY ORTHOPAEDIC INSTITUTE,4,29,5,2,5,11,1,1
MINERS' COLFAX MEDICAL CENTER,3,18,2,5,2,19,22,0
BEVERLY HOSPITAL,4,3,2,5,4,9,15,0
HENRY COUNTY MEDICAL CENTER,4,11,2,4,5,17,27,0
MERCY HOSPITAL WALDRON,4,19,4,1,5,6,21,1
ARBOUR-FULLER HOSPITAL,3,3,2,3,4,13,14,0
GEORGIA REGIONAL HOSP SAVANNAH,2,2,4,1,1,16,4,0
CHI-ST VINCENT INFIRMARY,3,14,4,1,3,17,13,0
ORCHARD HOSPITAL,3,2,1,4,2,15,16,0
BARTON MEMORIAL HOSPITAL,3,30,4,2,3,16,11,1
NORTH COLORADO MEDICAL CENTER,2,7,1,3,1,17,25,0
SETON MEDICAL CENTER HAYS,3,25,2,2,3,16,9,1
SOUTHWEST CONNECTICUT MENTAL HEALTH,4,6,5,2,4,18,10,1
DORMINY MEDICAL CENTER,5,10,5,4,5,8,15,1
READING HOSPITAL,4,12,5,2,5,12,22,1
CHAMBERS MEMORIAL HOSPITAL,3,23,3,2,3,20,16,0
SOUTH SHORE HOSPITAL,4,27,4,5,3,12,18,0
PHS INDIAN HOSPITAL AT RAPID CITY - SIOUX SAN,4,5,2,5,4,20,3,1
HARDEMAN COUNTY MEMORIAL HOSPITAL,3,8,2,5,2,14,8,0
ROLLING HILLS PSYCHIATRIC HOSPITAL,3,5,4,1,2,11,11,0
TEMECULA VALLEY HOSPITAL,3,30,3,2,4,17,19,1
ADVENTHEALTH DAYTONA BEACH,3,24,4,1,2,11,15,0
RYDER MEMORIAL HOSPITAL INC,4,16,3,4,4,19,23,0
WELLBRIDGE HEALTHCARE OF PLANO,3,24,1,5,3,7,26,0
FLEMING COUNTY HOSPITAL,3,25,1,2,4,6,25,0
COMMUNITY BEHAVIORAL HOSPITAL FERGUS FALLS,3,27,3,5,1,10,22,0
MADISON STATE HOSPITAL,3,24,2,2,5,16,17,1
MIDDLE TN MENTAL HEALTH INSTITUTE,2,12,1,2,2,19,29,0
VAN WERT COUNTY HOSPITAL,3,15,1,4,4,11,12,1
ST JOHN OWASSO,4,3,4,3,4,7,13,0
TUG VALLEY ARH REGIONAL MEDICAL CENTER,4,27,3,5,3,5,23,0
KETTERING MEDICAL CENTER,3,18,2,5,1,18,8,0
AVERA DE SMET MEMORIAL HOSPITAL - CAH,3,10,2,4,2,13,17,0
ADVOCATE GOOD SHEPHERD HOSPITAL,4,25,3,5,2,16,11,0
OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,5,9,5,5,5,19,21,1
BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,4,10,5,4,2,8,13,0
ST LUKE'S MAGIC VALLEY RMC,4,9,5,3,2,17,3,0
"COMMUNITY MEDICAL CENTER, INC",4,8,3,4,5,7,6,1
METHODIST JENNIE EDMUNDSON,3,28,2,1,5,5,24,1
BON SECOURS COMMUNITY HOSPITAL,4,8,4,5,3,20,18,0
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",2,12,1,1,4,20,25,0
ADVENTHEALTH TAMPA,3,28,1,2,5,17,1,1
NORTH CENTRAL BRONX HOSPITAL,3,9,1,5,3,18,5,1
CENTINELA HOSPITAL MEDICAL CENTER,2,8,1,1,4,17,8,1
TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,4,28,3,3,4,15,25,1
SOUTH TEXAS HEALTH SYSTEM,2,20,1,3,2,6,22,0
DELAWARE COUNTY MEMORIAL HOSPITAL,2,12,2,1,2,13,2,0
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,4,3,5,2,4,6,7,1
SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,3,2,4,1,4,8,26,0
ASPIRUS WAUSAU HOSPITAL,2,9,2,2,2,14,18,0
WAYNE MEDICAL CENTER,4,24,5,4,1,14,29,0
COVENANT HOSPITAL LEVELLAND,3,12,2,3,3,9,19,0
CHI HEALTH LAKESIDE,4,15,3,5,3,17,14,0
MONTEFIORE NEW ROCHELLE HOSPITAL,3,15,3,4,2,7,17,0
PROCTOR HOSPITAL,3,5,3,1,5,5,4,1
TRUMAN MEDICAL CENTER LAKEWOOD,4,23,3,4,4,15,11,1
TULANE MEDICAL CENTER,2,3,1,3,1,20,30,0
CHILDREN'S HOSPITAL OF MICHIGAN,3,22,5,1,3,11,8,1
OCHSNER MEDICAL CENTER-KENNER,4,8,5,3,2,10,13,0
ASCENSION SE WISCONSIN HOSPITAL - ST JOSEPH CAMPUS,4,19,3,5,3,13,27,0
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,3,19,5,3,1,8,10,0
MUSC HEALTH LANCASTER MEDICAL CENTER,4,12,4,4,4,7,1,1
DOCTORS'  COMMUNITY HOSPITAL,3,19,3,5,1,18,25,0
DICKINSON COUNTY MEMORIAL HOSPITAL,2,30,1,2,1,13,4,0
ELLENVILLE REGIONAL HOSPITAL,5,16,5,5,5,6,19,1
UNITY MEDICAL CENTER,2,26,2,2,2,9,19,0
RESTON HOSPITAL CENTER,2,21,1,1,2,6,10,0
UNITED MEMORIAL MEDICAL CENTER,3,12,4,2,2,5,20,0
HOSPITAL PSIQUIATRICO METROPOLITANO CABO ROJO,3,19,3,3,2,10,25,0
ANAHEIM GLOBAL MEDICAL CENTER,4,10,1,5,4,19,16,0
SAMARITAN MEDICAL CENTER,3,5,2,1,5,20,22,0
BEAUMONT HOSPITAL - TRENTON,2,28,1,4,1,20,14,0
ALAMANCE REGIONAL MEDICAL CENTER,2,10,1,3,2,16,19,0
ALLEGAN GENERAL HOSPITAL,4,29,4,5,3,6,17,0
"MERCY HOSPITAL HEALDTON, INC.",3,23,3,3,3,18,7,1
ST JOSEPH'S HOSPITAL,2,18,2,1,2,19,18,0
JASPER MEMORIAL HOSPITAL,4,19,3,3,5,13,19,1
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,2,27,3,2,1,10,19,0
NEWARK BETH ISRAEL MEDICAL CENTER,4,7,4,5,2,10,16,0
MENDOCINO COAST DISTRICT HOSPITAL,4,18,3,5,2,20,25,0
"DEWITT HOSPITAL & NURSING HOME, INC",3,13,2,4,3,8,18,0
CAPE FEAR VALLEY HOKE HOSPITAL,4,7,2,4,4,15,21,0
METHODIST AMBULATORY SURGERY HOSPITAL NW,4,11,4,1,5,20,16,1
LOMPOC VALLEY MEDICAL CENTER,2,20,1,1,3,20,24,0
MEASE DUNEDIN HOSPITAL,2,24,2,1,3,16,14,0
UNITED REGIONAL HEALTH CARE SYSTEM,3,12,4,3,1,15,6,0
SAN JOSE BEHAVIORAL HEALTH,4,13,5,2,5,8,3,1
CANONSBURG GENERAL HOSPITAL,3,8,3,4,2,10,19,0
SYCAMORE SHOALS HOSPITAL,2,26,2,1,3,17,24,0
KAISER FOUNDATION HOSPITAL,4,8,5,2,3,20,28,0
STOUGHTON HOSPITAL,3,23,3,1,4,16,11,1
PRAIRIECARE,2,3,1,2,3,13,26,0
FIRST TEXAS HOSPITAL CARROLLTON LLC,3,10,2,4,1,15,19,0
WISE REGIONAL HEALTH SYSTEM,4,3,4,5,2,18,26,0
COMMUNITY MEDICAL CENTER,5,16,5,5,5,6,7,1
UMD ST JOSEPH MEDICAL CENTER,4,2,5,3,4,6,21,0
JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,3,17,2,3,4,8,6,1
MARSHALL MEDICAL CENTER SOUTH,5,8,5,5,4,14,2,1
CHILDRENS HOSPITAL OF THE KINGS DAUGHTERS INC,5,8,3,5,5,16,7,1
SAN GORGONIO MEMORIAL HOSPITAL,3,6,3,2,2,17,15,0
LEGACY MOUNT HOOD MEDICAL CENTER,4,5,2,5,5,11,18,1
"COFFEE REGIONAL MEDICAL CENTER, INC",4,18,2,3,5,19,20,1
DECKERVILLE COMMUNITY HOSPITAL,3,23,2,4,3,13,5,1
ORANGE PARK MEDICAL CENTER,2,6,2,3,1,7,15,0
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,4,20,2,4,5,18,2,1
MISSOURI BAPTIST MEDICAL CENTER,3,2,5,1,3,16,9,0
LINDSAY MUNICIPAL HOSPITAL,3,28,5,1,3,20,9,1
CHI ST LUKES HEALTH MEMORIAL LUFKIN,3,24,5,2,2,19,25,0
LAKEVIEW HOSPITAL,4,16,3,5,2,16,27,0
TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,4,5,2,5,5,16,19,1
MERCY HOSPITAL JOPLIN,3,19,3,1,5,12,6,1
UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,3,16,5,2,1,12,5,0
CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,5,16,5,4,5,19,4,1
BAYLOR SCOTT & WHITE MEDICAL CENTER  PFLUGERVILLE,4,10,5,4,1,13,4,0
"MERCY HOSPITAL WATONGA, INC",3,13,1,5,1,18,12,0
BAPTIST EMERGENCY HOSPITAL,4,9,3,4,3,17,18,0
THE HEART HOSPITAL BAYLOR DENTON,4,7,3,5,4,6,3,1
ELBERT MEMORIAL HOSPITAL,3,17,1,5,1,18,28,0
SMYTH COUNTY COMMUNITY HOSPITAL,4,10,4,5,3,5,29,0
ST ELIZABETH GRANT,4,26,4,2,5,7,13,1
HENDERSON COUNTY COMMUNITY HOSPITAL,2,14,1,2,1,5,24,0
FORBES HOSPITAL,3,23,4,3,1,10,29,0
TAYLORVILLE MEMORIAL HOSPITAL,2,26,4,1,1,6,1,0
MARION GENERAL HOSPITAL,4,25,5,2,3,10,18,0
NORTHERN WESTCHESTER HOSPITAL,2,23,2,1,1,6,2,0
SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE,3,11,5,3,1,7,7,0
LEE MEMORIAL HOSPITAL,3,8,2,4,1,5,22,0
BAPTIST MEMORIAL HOSPITAL UNION CITY,2,14,4,1,1,6,21,0
"LAUREATE PSYCHIATRIC CLINIC AND HOSPITAL, INC",3,25,4,2,1,8,29,0
CROSSROADS COMMUNITY HOSPITAL,2,16,2,1,2,10,3,0
LIFEBRITE COMMUNITY HOSPITAL OF STOKES,2,6,1,2,3,11,5,0
PLAINS MEMORIAL HOSPITAL,4,5,4,4,4,6,19,0
HAYWOOD REGIONAL MEDICAL CENTER,2,4,2,1,2,12,9,0
BELL HOSPITAL,4,6,5,3,2,19,2,0
NORTHERN INYO HOSPITAL,4,21,4,3,5,12,19,1
MARSHALL COUNTY HOSPITAL,2,14,2,2,1,12,12,0
NEW ULM MEDICAL CENTER,3,11,3,4,1,19,12,0
SUMMIT BEHAVIORAL HEALTHCARE,4,16,3,3,4,10,15,1
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,4,18,4,1,5,9,20,1
HOOD MEMORIAL HOSPITAL,3,30,3,1,3,20,24,0
BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,2,8,1,4,1,17,6,0
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,5,21,5,5,5,10,22,1
ATRIUM HEALTH ANSON,4,19,2,3,5,5,30,0
SAGE MEMORIAL HOSPITAL,3,7,2,2,4,9,10,0
RIVER BEND HOSPITAL,3,19,1,2,5,12,1,1
SKY RIDGE MEDICAL CENTER,2,19,3,1,1,6,11,0
CHANDLER REGIONAL MEDICAL CENTER,3,25,5,2,1,6,24,0
UNIVERSITY PEDIATRIC HOSPITAL,5,10,5,4,4,10,28,0
HARLEM HOSPITAL CENTER,3,17,2,4,1,14,13,0
OCEANS BEHAVIORAL HOSPITAL OF KATY,4,30,5,1,5,13,17,1
MEMORIAL HERMANN NORTHEAST HOSPITAL,4,15,3,3,5,10,25,0
FAIRBANKS,3,3,2,3,2,6,14,0
LONGVIEW REGIONAL MEDICAL CENTER,4,2,5,4,2,5,27,0
DOCTORS CENTER HOSPITAL BAYAMON,4,13,4,2,5,8,5,1
HARNEY DISTRICT HOSPITAL,4,15,5,5,2,9,10,0
EDGERTON HOSPITAL AND HEALTH SERVICES,3,3,2,1,5,20,30,0
ISLAND HOSPITAL,4,26,3,5,3,15,25,0
HOSPITAL GENERAL DE CASTANER,4,4,4,4,3,11,10,0
PINE REST CHRISTIAN MENTAL HEALTH SERVICES,2,13,1,1,3,13,18,0
GREATER REGIONAL MEDICAL CENTER,4,11,1,5,5,12,15,1
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,2,25,1,1,3,5,5,1
MARTHA JEFFERSON HOSPITAL,3,8,3,1,4,12,9,1
ELKHART GENERAL HOSPITAL,2,22,1,3,1,16,11,0
POUDRE VALLEY HOSPITAL,3,12,1,4,3,15,4,1
WADLEY REGIONAL MEDICAL CENTER AT HOPE,3,4,1,3,4,5,9,0
ST VINCENT GENERAL HOSPITAL DISTRICT,3,6,2,5,1,19,19,0
CEDAR HILLS HOSPITAL,2,2,2,1,2,17,20,0
MONROE HOSPITAL,4,15,3,4,5,11,8,1
ST CROIX REGIONAL MEDICAL CENTER,3,25,3,4,2,14,26,0
MEDINA HOSPITAL,2,19,1,4,1,20,9,0
FULTON MEDICAL CENTER LLC,4,21,3,5,4,18,17,1
CUMBERLAND MEDICAL CENTER,3,19,3,3,1,8,2,0
MARY HITCHCOCK MEMORIAL HOSPITAL,4,6,5,4,1,7,24,0
GARLAND BEHAVIORAL HOSPITAL,4,6,3,2,5,18,5,1
GLENBEIGH HEALTH SOURCES,4,20,5,4,2,7,14,0
ST FRANCIS HOSPITAL,4,27,5,1,4,20,11,1
ASCENSION ALL SAINTS HOSPITAL,2,4,1,3,2,12,3,0
ST FRANCIS MEDICAL CENTER,3,18,2,4,2,19,9,0
TEXAS HEALTH HEB,4,5,1,4,5,15,20,0
RAINBOW BABIES AND CHILDRENS HOSPITAL,4,20,4,4,4,13,21,0
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,2,18,3,2,1,13,8,0
BAPTIST ST ANTHONY'S HOSPITAL,3,29,4,3,2,20,22,0
ST JAMES PARISH HOSPITAL,3,6,5,1,3,19,16,0
KOSCIUSKO COMMUNITY HOSPITAL,3,9,3,1,3,18,28,0
WAYNE MEMORIAL HOSPITAL,3,21,4,2,2,13,4,0
MOUNT WASHINGTON PEDIATRIC HOSPITAL,2,6,3,1,2,9,3,0
SOUTHERN REGIONAL MEDICAL CENTER,4,16,5,5,1,8,5,0
MCLAREN LAPEER REGION,5,24,5,5,3,6,6,1
MARY RUTAN HOSPITAL,4,5,1,5,5,15,6,1
CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B,2,22,1,2,1,19,12,0
ANDROSCOGGIN VALLEY HOSPITAL,3,14,1,4,3,5,25,0
UH GEAUGA MEDICAL CENTER,3,15,5,2,1,11,25,0
LANGLEY PORTER PSYCHIATRIC INSTITUTE,4,2,4,4,3,17,19,0
"WESTFIELD MEMORIAL HOSPITAL, INC",3,25,5,2,2,8,30,0
HASKELL COUNTY COMMUNITY HOSPITAL,4,18,1,5,5,12,5,1
"NEBRASKA SPINE HOSPITAL, LLC",4,21,5,2,5,16,27,1
SSM HEALTH ST CLARE HOSPITAL - BARABOO,5,26,5,5,3,6,22,0
"SAINT FRANCIS HOSPITAL SOUTH, LLC",4,22,2,3,5,6,1,1
HANOVER HOSPITAL,3,22,5,2,2,7,8,0
FRESNO SURGICAL HOSPITAL,5,27,3,5,5,7,26,1
HERRIN HOSPITAL,4,23,1,5,5,11,12,1
SPRING MOUNTAIN SAHARA,3,16,3,2,3,18,28,0
GENESIS MEDICAL CENTER-DAVENPORT,2,21,1,1,2,11,6,0
BOZEMAN HEALTH DEACONESS HOSPITAL,2,21,1,1,2,16,12,0
STEPHENS MEMORIAL HOSPITAL,3,2,3,5,1,8,7,0
HACKETTSTOWN MEDICAL CENTER,3,8,5,3,1,12,7,0
INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,1,3,1,1,1,5,2,0
ST VINCENT RANDOLPH HOSPITAL INC,3,15,1,3,4,20,11,1
MH ST ELIZABETH YOUNGSTOWN HOSPITAL,4,4,4,3,3,17,7,0
UNIVERSITY OF UTAH HOSPITALS AND CLINICS,4,19,4,5,3,7,19,0
SUTTER SOLANO MEDICAL CENTER,2,24,2,2,2,5,23,0
METHODIST HOSPITAL,3,30,3,3,3,13,15,1
CENTRASTATE MEDICAL CENTER,4,13,5,4,2,10,3,0
"COMMUNITY MEMORIAL HEALTHCARE, INC",4,24,4,3,4,10,15,1
CLINCH MEMORIAL HOSPITAL,4,18,2,5,5,7,11,1
MERCY HEALTH-LORAIN HOSPITAL,4,5,5,4,1,9,1,0
ST MARY MEDICAL CENTER,4,29,5,3,3,18,26,0
ST JOSEPH MEDICAL CENTER,4,20,5,4,2,16,14,0
PASSAVANT AREA HOSPITAL,3,13,1,1,5,19,11,1
MERCY HOSPITAL EL RENO,3,21,3,4,2,16,18,0
PALOS COMMUNITY HOSPITAL,4,3,5,1,5,10,30,0
TWIN CITIES HOSPITAL,3,10,5,2,2,18,17,0
HARSHA BEHAVIORAL CENTER INC,3,19,2,5,1,20,14,0
HOLY NAME MEDICAL CENTER,4,25,4,5,3,10,8,1
TARZANA TREATMENT CENTER,5,6,5,4,4,12,11,1
HARRISBURG MEDICAL CENTER,4,5,4,3,5,7,1,1
THE ORTHOPEDIC SPECIALTY HOSPITAL,3,12,5,1,2,13,12,0
MINERAL COMMUNITY HOSPITAL,2,23,2,1,3,10,26,0
ST JOSEPH'S BEHAVIORAL HEALTH CENTER,5,15,5,5,4,9,18,0
O'CONNOR HOSPITAL,5,16,5,3,5,15,21,1
LEHIGH VALLEY HOSPITAL - HAZLETON,4,18,3,5,3,16,29,0
WEST TENNESSEE HEALTHCARE VOLUNTEER HOSPITAL,5,9,5,5,3,16,21,0
"BLUE RIDGE REGIONAL HOSPITAL, INC",3,5,4,2,3,20,11,0
MIZELL MEMORIAL HOSPITAL,3,3,4,1,2,18,11,0
PERRY COUNTY MEMORIAL HOSPITAL,3,17,2,5,1,9,25,0
BAPTIST MEMORIAL HOSPITAL TIPTON,4,13,4,1,5,7,3,1
ST MARK'S HOSPITAL,3,28,4,2,1,15,16,0
RUSH COUNTY MEMORIAL HOSPITAL,5,13,4,5,4,16,9,1
UPMC BEDFORD MEMORIAL,3,28,3,4,1,8,11,0
LECOM HEALTH CORRY MEMORIAL HOSPITAL,3,29,1,2,4,20,29,0
VIDANT BEAUFORT HOSPITAL,2,10,2,1,2,7,12,0
RUBY VALLEY MEDICAL CENTER,4,29,3,4,5,8,19,1
JEWISH HOSPITAL - SHELBYVILLE,3,2,2,4,2,10,5,0
SANFORD WESTBROOK MEDICAL CENTER,2,15,1,2,1,8,5,0
IOWA LUTHERAN HOSPITAL,4,4,4,5,1,13,9,0
RINGGOLD COUNTY HOSPITAL,3,9,4,2,2,7,30,0
DALE MEDICAL CENTER,4,11,4,5,3,12,22,0
NEURODIAGNOSTIC INSTITUTE,3,4,1,3,4,7,6,1
ORTHOINDY HOSPITAL,3,10,4,3,1,17,25,0
CLAIBORNE COUNTY HOSPITAL,3,13,3,1,5,6,19,1
ST LUKE'S HOSPITAL - ANDERSON CAMPUS,3,7,1,4,4,14,6,1
LONG BEACH MEMORIAL MEDICAL CENTER,1,14,1,1,1,15,25,0
KLICKITAT VALLEY HOSPITAL,4,17,5,4,1,11,20,0
STANTON COUNTY HOSPITAL,2,6,3,1,1,5,16,0
"GUIDANCE CENTER, THE",3,13,2,5,2,8,14,0
